Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      276     0.00     0.00  std::function<void (int)>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*, std::function<void (int)> >(__gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, __gnu_cxx::__normal_iterator<std::function<void (int)> const*, std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > > >, std::function<void (int)>*, std::allocator<std::function<void (int)> >&)
  0.00      0.00     0.00      242     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00      234     0.00     0.00  __gnu_cxx::__normal_iterator<std::function<void (char const*)> const*, std::vector<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > > >::base() const
  0.00      0.00     0.00      222     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      0.00     0.00      218     0.00     0.00  __gnu_cxx::__normal_iterator<clipp::group::child_t<clipp::parameter, clipp::group> const*, std::vector<clipp::group::child_t<clipp::parameter, clipp::group>, std::allocator<clipp::group::child_t<clipp::parameter, clipp::group> > > >::base() const
  0.00      0.00     0.00      216     0.00     0.00  std::remove_reference<std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl&>::type&& std::move<std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl&>(std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl&)
  0.00      0.00     0.00      206     0.00     0.00  std::_Any_data::_M_access() const
  0.00      0.00     0.00      188     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.00      0.00     0.00      186     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00      0.00     0.00      185     0.00     0.00  std::_Vector_base<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00      181     0.00     0.00  _ZN9__gnu_cxxeqIPKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt6vectorIS6_SaIS6_EEEEbRKNS_17__normal_iteratorIT_T0_EESH_QrqXeqcldtfL0p_4baseEcldtfL0p0_4baseERSt14convertible_toIbEE
  0.00      0.00     0.00      180     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.00     0.00      177     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<long, void>(long const&)
  0.00      0.00     0.00      167     0.00     0.00  clipp::group::child_t<clipp::parameter, clipp::group>* std::__addressof<clipp::group::child_t<clipp::parameter, clipp::group> >(clipp::group::child_t<clipp::parameter, clipp::group>&)
  0.00      0.00     0.00      142     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  0.00      0.00     0.00      138     0.00     0.00  __gnu_cxx::__normal_iterator<std::function<void (char const*)> const*, std::vector<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > > >::__normal_iterator(std::function<void (char const*)> const* const&)
  0.00      0.00     0.00      128     0.00     0.00  clipp::parameter::predicate_adapter*& std::_Any_data::_M_access<clipp::parameter::predicate_adapter*>()
  0.00      0.00     0.00      128     0.00     0.00  void std::destroy_at<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00      128     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00      119     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      0.00     0.00      119     0.00     0.00  std::_Function_base::_Base_manager<clipp::parameter::predicate_adapter>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.00     0.00      119     0.00     0.00  std::_Function_base::_Base_manager<bool (*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.00     0.00      119     0.00     0.00  std::_Function_handler<clipp::subrange (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&), clipp::parameter::predicate_adapter>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.00     0.00      119     0.00     0.00  std::_Function_handler<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&), bool (*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.00     0.00      118     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::count() const
  0.00      0.00     0.00      117     0.00     0.00  _ZN9__gnu_cxxeqIPKSt8functionIFvPKcEESt6vectorIS5_SaIS5_EEEEbRKNS_17__normal_iteratorIT_T0_EESG_QrqXeqcldtfL0p_4baseEcldtfL0p0_4baseERSt14convertible_toIbEE
  0.00      0.00     0.00      117     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      0.00     0.00      110     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator++()
  0.00      0.00     0.00      110     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator*() const
  0.00      0.00     0.00      110     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00      110     0.00     0.00  clipp::parameter::predicate_adapter const& std::forward<clipp::parameter::predicate_adapter const&>(std::remove_reference<clipp::parameter::predicate_adapter const&>::type&)
  0.00      0.00     0.00      110     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      0.00     0.00      110     0.00     0.00  bool (* const&std::forward<bool (* const&)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)>(std::remove_reference<bool (* const&)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)>::type&))(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00      109     0.00     0.00  std::function<clipp::subrange (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)>::~function()
  0.00      0.00     0.00      108     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::__normal_iterator(char* const&)
  0.00      0.00     0.00      108     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00      108     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00      108     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.00      0.00     0.00      108     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl::_Vector_impl(std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl&&)
  0.00      0.00     0.00      108     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_impl_data&&)
  0.00      0.00     0.00      108     0.00     0.00  std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_Vector_base(std::_Vector_base<std::function<void (int)>, std::allocator<std::function<void (int)> > >&&)
  0.00      0.00     0.00      108     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      0.00     0.00      108     0.00     0.00  std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > >::vector(std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > >&&)
  0.00      0.00     0.00      108     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00      107     0.00     0.00  clipp::detail::action_provider<clipp::parameter>::~action_provider()
  0.00      0.00     0.00      107     0.00     0.00  clipp::detail::token<clipp::parameter>::~token()
  0.00      0.00     0.00      107     0.00     0.00  clipp::parameter::~parameter()
  0.00      0.00     0.00      107     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::function<void (char const*)>*>(std::function<void (char const*)>*, std::function<void (char const*)>*)
  0.00      0.00     0.00      107     0.00     0.00  std::_Vector_base<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00      107     0.00     0.00  std::_Vector_base<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::_M_deallocate(std::function<void (char const*)>*, unsigned long)
  0.00      0.00     0.00      107     0.00     0.00  std::_Vector_base<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::~_Vector_base()
  0.00      0.00     0.00      107     0.00     0.00  std::vector<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::~vector()
  0.00      0.00     0.00      107     0.00     0.00  void std::_Destroy<std::function<void (char const*)>*>(std::function<void (char const*)>*, std::function<void (char const*)>*)
  0.00      0.00     0.00      105     0.00     0.00  std::vector<std::function<void (char const*)>, std::allocator<std::function<void (char const*)> > >::size() const
  0.00      0.00     0.00      105     0.00     0.00  std::function<void (char const*)>* std::__addressof<std::function<void (char const*)> >(std::function<void (char const*)>&)
  0.00      0.00     0.00      102     0.00     0.00  __gnu_cxx::__normal_iterator<clipp::group::depth_first_traverser::context const*, std::vector<clipp::group::depth_first_traverser::context, std::allocator<clipp::group::depth_first_traverser::context> > >::__normal_iterator(clipp::group::depth_first_traverser::context const* const&)
  0.00      0.00     0.00      100     0.00     0.00  _ZN9__gnu_cxxeqIPKN5clipp5group7child_tINS1_9parameterES2_EESt6vectorIS5_SaIS5_EEEEbRKNS_17__normal_iteratorIT_T0_EESG_QrqXeqcldtfL0p_4baseEcldtfL0p0_4baseERSt14convertible_toIbEE
  0.00      0.00     0.00       98     0.00     0.00  __gnu_cxx::__normal_iterator<clipp::group::depth_first_traverser::context*, std::vector<clipp::group::depth_first_traverser::context, std::allocator<clipp::group::depth_first_traverser::context> > >::__normal_iterator(clipp::group::depth_first_traverser::context* const&)
  0.00      0.00     0.00       98     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.00     0.00       98     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<clipp::str::remove_ws<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)::{lambda(char)#1}>::operator()<__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >)
  0.00      0.00     0.00       98     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.00     0.00       98     0.00     0.00  std::function<clipp::subrange (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)>::operator bool() const
